V20,V10,V8,prod_V13_V16,inter_V20_V10,inter_V20_V8,diff_V10_V16,V11,V13,inter_V20_diff_V10_V16,V17,V5,V19,inter_V10_V8,log_V18,inter_V8_diff_V10_V16,ratio_V8_V9,inter_V10_diff_V10_V16,ratio_V11_V12,V18,V16,V14,log_V7,ratio_V13_V16,inter_V5_V8,Y
2.0,-1.2854021847070507,-1.2794612794612799,-0.03987166832151979,-2.5708043694141014,-2.5589225589225597,-1.0603101665709367,0.8328530259365995,0.8322033898305079,-2.1206203331418734,-0.34285714285714314,0.0,-0.34042553191489333,1.6446223238676074,1.2386126258466674,1.3566258023466533,-1.0773347295639437,1.3629250045773789,0.37070152965803954,1.6666666666666667,-0.7784137367130007,-0.7809030347890453,0.0,1.531049935547475,-0.0,0
2.0,0.038133068520357534,0.04040404040404042,0.3314922485946147,0.07626613704071507,0.08080808080808084,-0.04709936817920752,0.041786743515850225,0.0423728813559322,-0.09419873635841504,-0.14285714285714285,0.0,-0.13829787234042537,0.0015407300412265677,-0.3987442029422507,-0.0019030047749174763,-0.08397923223511448,-0.0017960434340432677,1.0934656004914878,-0.3333333333333333,0.3434178250204419,0.34863064396743176,0.0,-0.17338265245984913,0.0,0
3.0,-0.42264150943396234,-0.4188552188552189,0.35427199448547564,-1.267924528301887,-1.2565656565656567,-0.45069883208883826,0.23775216138328528,0.2372881355932201,-1.3520964962665147,-0.14285714285714285,0.0,-0.13829787234042537,0.17702560193126238,-1.6373568287889175,0.18877755795236192,-0.6593593934755748,0.19048403469415054,-0.1074690103481401,-1.0,0.17007358953393345,0.17246484085862337,0.0,0.05833727357391406,-0.0,0
1.0,0.16762661370407148,0.16969696969696968,0.34045205781068605,0.16762661370407148,0.16969696969696968,-0.18035611717403827,-0.6887608069164266,-0.6881355932203393,-0.18035611717403827,0.6857142857142853,0.0,0.6914893617021277,0.02844572838614546,-0.3987442029422507,-0.030605886550745885,0.5930945341273447,-0.030232485182698762,-0.028891418783432453,-0.3333333333333333,1.445625511038431,1.4544781643227243,0.0,-0.9805846194105853,0.0,0
1.0,-0.5497517378351541,-0.5454545454545456,-0.12543991557500783,-0.5497517378351541,-0.5454545454545456,-0.5732337736932803,-0.4207492795389047,-0.4203389830508478,-0.5732337736932803,0.9428571428571425,0.0,0.9468085106382976,0.2998645842737205,0.0,0.3126729674690621,-0.26207379465111413,0.31513626327368427,-0.7215849190528402,0.0,0.17007358953393345,0.17246484085862337,0.0,-0.3770441138577904,-0.0,0
2.0,-0.5616683217477657,-0.5575757575757578,-0.0706929981768054,-1.1233366434955314,-1.1151515151515157,-0.5050737124258092,-0.031700288184437875,-0.03220338983050869,-1.0101474248516185,0.0,0.0,0.0,0.313172640004815,-0.9128148897488533,0.281616857837421,-0.639154982223133,0.2836839044171179,-0.4646831875005262,-0.6666666666666666,-0.17007358953393287,-0.16950407105847506,0.0,0.11249914604105254,-0.0,0
1.0,0.790466732869911,0.7905723905723911,0.15894608433510954,0.790466732869911,0.7905723905723911,0.8696151636990241,0.7175792507204612,0.7169491525423723,0.8696151636990241,0.17142857142857132,0.0,0.1702127659574469,0.6249211746729132,1.4089262264617437,0.6874937388435388,1.8316570174135403,0.6874018573033004,0.6518757226015665,2.0,-0.4742436631234668,-0.4759437453737974,0.0,0.9991664879727613,0.0,0
3.0,-1.6127110228401194,-1.6053872053872058,0.8179110828171287,-4.838133068520358,-4.816161616161617,-1.5979322228604258,0.8731988472622481,0.8728813559322031,-4.793796668581278,-0.42857142857142855,0.0,-0.42553191489361675,2.5890256420544415,-0.9128148897488533,2.5652999456560646,-1.1537938845993307,2.577002909558423,0.375758039338187,-0.6666666666666666,0.17007358953393345,0.1739452257586973,0.0,0.47913114029270065,-0.0,0
1.0,-0.06991062562065534,-0.06734006734006737,-0.6523408439201364,-0.06991062562065534,-0.06734006734006737,0.06701129618992918,-0.5763688760806917,-0.5762711864406783,0.06701129618992918,0.457142857142857,0.0,0.4574468085106383,0.004707786237081169,0.0,-0.004512545197975031,-0.2863103776105042,-0.0046848016402889865,0.05523697291092981,0.0,-0.5887162714636138,-0.5899333826794967,0.0,0.014853622405843972,-0.0,0
1.0,-0.962859980139027,-0.9575757575757579,-0.07022741917597025,-0.962859980139027,-0.9575757575757579,-0.9561554662071612,-0.28962536023054747,-0.2898305084745764,-0.9561554662071612,0.3999999999999996,0.0,0.40425531914893637,0.9220113749210079,-0.3987442029422507,0.9155912949135243,-0.8878748834731522,0.9206438332020492,0.18758440940825863,-0.3333333333333333,0.10466067048242039,0.10732790525536642,0.0,-0.2535728872736218,-0.0,0
