puntaje_crediticio,log_ingreso_anual,log_ingreso_por_dependiente,log_cuota_mensual_estimada,puntaje_crediticio log_ratio_deuda_ingreso,log_ratio_deuda_ingreso,dias_desde_inicio,log_monto_prestamo,log_ingreso_anual log_ratio_deuda_ingreso,carga_familiar,nivel_educacion,solicitud_anio,num_dependientes,categoria_score,nivel_ingresos,estado_civil_Divorciado,proposito_prestamo_Vehiculo,proposito_prestamo_Negocios,prestamo_aprobado
0.0,1.0246074778508905,1.4327425686869806,-0.3175283024020003,-0.0,-0.6370688551584437,-0.6255088195386703,-0.5140096625991996,-0.6527455129012473,-0.6766917293233082,4.0,2020.0,-1.0,1.0,3.0,0.0,0.0,0.0,1
-0.6601941747572816,0.6428532732566999,0.525547248243241,1.1803544247123166,0.23898967583759181,-0.3619990678128229,0.5427408412483039,-0.11074220736828787,-0.23271228565934726,-0.06444683136412459,4.0,2023.0,0.0,1.0,3.0,0.0,0.0,0.0,0
-0.32038834951456313,-0.05274793873842536,0.6870869315546331,-1.4291434237466436,0.115870160301415,-0.361655348819568,0.994572591587517,-0.6031046633514552,0.019076574183958427,-0.6766917293233082,1.0,2023.0,-1.0,1.0,1.0,0.0,1.0,0.0,0
1.4757281553398058,-0.6209356858707205,-0.34912511922535866,-0.18575429879495964,0.3000346331181119,0.20331294217872056,0.5739484396200815,-0.2349495306494742,-0.12624426119813797,-0.3631028791490922,3.0,2023.0,0.0,4.0,0.0,0.0,0.0,0.0,0
0.4368932038834951,-0.3477240328653397,-0.1600359257419329,-0.9674647078860131,-0.2721261295843431,-0.622866474381941,-0.37991858887381275,-1.4398918293856615,0.21658564240870432,-0.03383458646616534,4.0,2021.0,0.0,2.0,1.0,1.0,0.0,1.0,1
-1.029126213592233,0.2157242558461366,-0.1461805571390878,0.6964606152838883,-0.028741759904502145,0.027928313869469066,-0.4816824966078697,0.16117646515497197,0.00602481472652855,0.6090225563909776,1.0,2020.0,1.0,0.0,2.0,0.0,0.0,0.0,1
0.3786407766990291,0.6191782453393863,0.509161560529699,0.024053100454072572,-0.1097144613411685,-0.28975870559334244,-0.5359565807327001,0.0,-0.1794122869010976,-0.3631028791490922,2.0,2020.0,0.0,2.0,3.0,1.0,0.0,0.0,1
-1.1941747572815533,0.4100789871617797,-0.011668443071675319,-0.2882620704148583,0.625050479191181,-0.5234162549324524,-0.6960651289009498,-0.6218510272157856,-0.21464200768671193,0.12687969924812034,3.0,2020.0,1.0,0.0,2.0,1.0,0.0,1.0,1
0.8446601941747572,0.7433085724574247,0.5950732502281854,1.5870038226540533,-0.0007487784487070125,-0.0008864848300784171,0.1248303934871099,0.500080186115088,-0.0006589317735507509,0.07961079168509512,1.0,2022.0,0.0,2.0,3.0,0.0,0.0,0.0,1
-0.3592233009708738,-0.5311111160620863,-0.6630554741298954,1.5088235433079669,-0.4632124049728297,1.2894831814108503,0.23202170963364993,0.7115958471566509,-0.6848588516224063,0.2100077780658543,0.0,2022.0,1.0,1.0,0.0,0.0,0.0,0.0,0
